prijmeni;jmeno;trida;skola_zkr;skola_nazev;skola_izo
c5bfa;5c4f9;1.EP;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
1f667;ed1a4;1.EP;ZŠDomky;Základní škola;102718881
62b4d;b0bf7;1.IT;ZŠ Žacléř;Základní škola, Žacléř;102590044
037fd;1dd5c;1.IT;ZŠPilníkov;Základní škola a Mateřská škola, Pilníkov;102578371
85774;59f51;1.IT;ZŠSvoboda/Úp.;Základní škola a mateřská škola, Svoboda nad Úpou;102578737
a7149;365e5;1.IT;ZŠSvatoňovice;Základní škola Malé Svatoňovice;49290649
b0711;2f97e;1.IT;ZŠBří.ČapkůÚpice;Základní škola Bratří Čapků;47463996
bd983;44321;1.IT;ZŠDomky;Základní škola;102718881
7b7cd;2593a;1.IT;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné;43462448
654b4;be10e;1.IT;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
25f9e;19907;1.IT;ZŠMládežnická;Základní škola;47463783
0f044;9741a;1.IT;ZŠSchulz.SadyDvůrKnL;Základní škola Schulzovy sady;60154721
6e2e2;df281;1.IT;ZŠSvoboda/Úp.;Základní škola a mateřská škola, Svoboda nad Úpou;102578737
b21ef;72341;1.IT;ZŠKomenského;Základní škola;47463724
23ed6;a7873;1.IT;ZŠaZuŠ Rtyně v Podkrkonoší;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší;49290576
d4e7b;55706;1.IT;ZŠBří.ČapkůÚpice;Základní škola Bratří Čapků;47463996
c8cff;3c989;1.IT;ZŠMír.Vr.;Základní škola, Vrchlabí, nám. Míru 283;102578974
6e0f7;4704c;1.IT;ZŠŠk.Vr;Základní škola;117900729
6388e;d326e;1.IT;ZŠ Česká Skalice;Základní škola, Česká Skalice;102254648
acbc5;74913;1.IT;ZŠFrimla;Základní škola, Trutnov, R. Frimla 816;47463848
87b85;f1811;1.IT;ZŠMír.Vr.;Základní škola, Vrchlabí, nám. Míru 283;102578974
ce121;046a5;1.IT;ZŠ Česká Skalice;Základní škola, Česká Skalice;102254648
3a4ef;5c9bb;1.IT;ZŠPilníkov;Základní škola a Mateřská škola, Pilníkov;102578371
3f667;c6a8f;1.IT;ZŠMládežnická;Základní škola;47463783
5ed4f;75933;1.IT;ZŠMír.Vr.;Základní škola, Vrchlabí, nám. Míru 283;102578974
78adb;c09cd;1.IT;SPŠHradební;Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, Hradec Králové;15062848
e14f6;c32e6;1.IT;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné;43462448
08ea0;9a1cc;1.IT;ZŠBří.ČapkůÚpice;Základní škola Bratří Čapků;47463996
8e268;b46be;1.IT;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice;102578672
93c1f;8a235;1.IT;Gymn. A SOŠ;Gymnázium a Střední odborná škola;108026736
12627;c5c4d;1.IT;ZŠSvatoňovice;Základní škola Malé Svatoňovice;49290649
c08e3;ae242;1.IT;ZŠaZuŠ Rtyně v Podkrkonoší;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší;49290576
1b9c7;9284e;1.S;ZŠBíláTř.;Základní škola a Mateřská škola, Bílá Třemešná;102578435
a554d;ec6e4;1.S;ZŠDvůrKr.5.května;Základní škola 5. května;102578460
23e11;589a9;1.S;ZŠ Strž, Dvůr Králové;Základní škola Strž, Dvůr Králové nad Labem, E. Krásnohorské 2919;60154730
8b31e;beff5;1.S;ZŠPoříčí;Základní škola;102578869
e055d;53510;1.S;ZŠ Strž, Dvůr Králové;Základní škola Strž, Dvůr Králové nad Labem, E. Krásnohorské 2919;60154730
c6555;ee54c;1.S;ZŠSchulz.SadyDvůrKnL;Základní škola Schulzovy sady;60154721
a8ee4;82493;1.S;ZŠ Žacléř;Základní škola, Žacléř;102590044
5526b;d20c0;1.S;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
60bed;e0d1c;1.S;ZŠŠk.Vr;Základní škola;117900729
182e6;bbbba;1.S;ZŠŠk.Vr;Základní škola;117900729
5e533;7fee9;1.S;ZŠaMŠ Horní Branná;Základní škola a Mateřská škola Josefa Šíra, Horní Branná, příspěvková organizace;102442797
1fd33;660d7;1.S;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
336fd;391bd;1.S;ZŠBří.ČapkůÚpice;Základní škola Bratří Čapků;47463996
402cd;831ac;1.S;ZŠSvatoňovice;Základní škola Malé Svatoňovice;49290649
742ae;5f6bf;1.S;ZŠ Podharť;Základní škola Podharť;60154691
3b2d3;ac36c;1.S;ZŠPoříčí;Základní škola;102578869
ad43e;8b9a8;1.S;ZŠMládežnická;Základní škola;47463783
ded86;5844f;1.S;ZŠBernartice;Základní škola a Mateřská škola, Bernartice;102590061
17df6;12583;1.S;ZŠMládežnická;Základní škola;47463783
62543;64c84;1.S;ZŠJilemHarracha;Základní škola Jilemnice, Jana Harracha 97, příspěvková organizace;102442886
26ccf;d2094;1.S;BPA Malé Svatoňovice;Bezpečnostně právní akademie, s.r.o., střední škola;151014507
2f688;73694;1.ST;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
c8596;027b1;1.ST;SŠ sl., obch. a gastr. HK;Střední škola služeb, obchodu a gastronomie, Hradec Králové, Velká 3;527939
6ebd8;d8c4b;1.ST;ZŠKomenského;Základní škola;47463724
7a9e9;840f3;1.ST;ZŠKomenského;Základní škola;47463724
1a789;2cf55;1.ST;Gymn. A SOŠ;Gymnázium a Střední odborná škola;108026736
06585;8dd97;1.ST;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné;43462448
dae4c;ca049;1.ST;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
fd686;a7668;1.ST;ZŠMŠ Lánov;Základní škola a Mateřská škola, Lánov;102578397
d138d;d513e;1.ST;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné;43462448
af78c;e1bc5;1.ST;ZŠRadvanice;Základní škola a Mateřská škola, Radvanice;102578672
9bf38;71ccd;1.ST;ZŠKomenského;Základní škola;47463724
9870f;9e0f4;1.ST;ZŠDomky;Základní škola;102718881
e6a40;f3929;1.ST;ZŠFrimla;Základní škola, Trutnov, R. Frimla 816;47463848
8c64c;35a58;1.ST;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
f251f;bfbea;1.ST;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
a22ab;091a9;1.ST;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
3623e;57345;1.ST;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
0a01c;664c7;1.ST;ZŠRudník;Základní škola a Mateřská škola, Rudník;47466928
4132a;0e979;1.ST;ZŠBernartice;Základní škola a Mateřská škola, Bernartice;102590061
be20a;e1c1d;1.ST;ZŠMládežnická;Základní škola;47463783
52a7a;14757;1.ST;ZŠRudník;Základní škola a Mateřská škola, Rudník;47466928
10efd;30b6c;1.ST;ZŠKomenského;Základní škola;47463724
dfa23;07f54;1.ST;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
e8d3b;65ce5;1.ST;ZŠMládežnická;Základní škola;47463783
91ab0;f05fa;1.ST;Gymn. A SOŠ;Gymnázium a Střední odborná škola;108026736
12d48;cfcbd;1.ST;ZŠHostinnéK.K.;Základní škola Karla Klíče Hostinné;43462448
9cc3f;1e49e;1.ST;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
43a43;fa015;1.ST;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
